"id","name","content","created_at","notion_page_id","priority"
1,dkim,"DomainKeys Identified Mail (DKIM) is an email authentication method that allows the receiver to check that an email was indeed sent and authorized by the owner of that domain. It uses a digital signature added to the email header, which can be verified by the recipient's mail server using the sender's public key published in the DNS records. This helps to prevent email spoofing and enhances email security.","2026-04-01 17:44:25",3351fcb3-79f3-81b1-9d71-d0bfe4ae862b,Medium
2,SPF,"Sender Policy Framework (SPF) is an email authentication protocol that helps to prevent spoofing and phishing by allowing the owner of a domain to specify which mail servers are authorized to send mail on its behalf. This is done through a DNS TXT record that lists the IP addresses of the authorized servers, helping recipient mail servers to verify the authenticity of incoming emails.","2026-04-01 18:27:37",3351fcb3-79f3-81f7-a414-d5e0494c6a54,Medium
3,IPS,"Intrusion Prevention System (IPS) is a network security technology that monitors network traffic for malicious activity and takes action to prevent it. An IPS can block or restrict network traffic based on the signatures of known threats, providing a proactive defense against potential attacks.","2026-04-01 18:27:39",3351fcb3-79f3-81be-ab7c-f0c01782507d,Medium
4,IDS,"IDS stands for Intrusion Detection System, which is a software or hardware solution that monitors network traffic for suspicious activities and potential threats. It analyzes incoming and outgoing traffic against a set of known attack signatures or patterns, and alerts administrators to any anomalies or malicious activities. IDS can be classified into two main types: network-based and host-based.","2026-04-01 18:27:42",3351fcb3-79f3-81d9-a0b0-c6e34b83284e,Medium
5,ARIN,"The American Registry for Internet Numbers (ARIN) is a nonprofit organization that manages the distribution of Internet number resources, including IP addresses and Autonomous System Numbers (ASNs), in North America. ARIN is responsible for registering these resources and ensuring their efficient use, as well as providing educational services about its policies and operations.","2026-04-01 18:27:44",3351fcb3-79f3-8125-9f0c-d240ae7f6773,Medium
6,Shodan,"Shodan is a search engine that lets users find specific types of computers connected to the internet using various filters. Unlike traditional search engines that index web pages, Shodan indexes devices such as servers, routers, and cameras, allowing users to discover vulnerabilities and analyze the security of IoT devices. It is widely used by security professionals and researchers to understand the exposure of devices on the internet.","2026-04-01 18:27:47",3351fcb3-79f3-814a-bd27-f3ece9720e60,Medium
7,Nmap,"Nmap (Network Mapper) is an open-source tool for network discovery and security auditing. It is commonly used to scan networks for active hosts, identify services running on those hosts, and detect open ports, as well as to assess the security posture of networked systems. Nmap supports a wide range of scanning techniques and can provide detailed information about both the operating systems and network devices it discovers.","2026-04-01 18:27:50",3351fcb3-79f3-8198-b916-e89ff7c69732,Medium
8,"Banner Grabbing","Banner grabbing is a technique used to gain information about a network service running on a device. It typically involves sending specific commands to a server to elicit a response that reveals information such as software version, operating system, and configuration details. This technique is commonly used in security assessments and network scans to identify vulnerabilities.","2026-04-01 18:27:52",3351fcb3-79f3-818b-8d34-fbf9f864f952,Medium
9,Honeypots,"Honeypots are security mechanisms designed to attract and trap potential attackers by simulating vulnerable systems or networks. They serve as decoys to detect, deflect, or study unauthorized access attempts, providing valuable insights into attack methods and motivations. By isolating these traps from real assets, organizations can enhance their security posture and respond effectively to threats.","2026-04-01 18:27:54",3351fcb3-79f3-81f9-ac73-d7f08cb93638,Medium
10,Firewall,"A firewall is a network security device that monitors and controls incoming and outgoing network traffic based on predetermined security rules. It can be implemented in hardware, software, or a combination of both, serving as a barrier between a trusted internal network and untrusted external networks, such as the internet, to prevent unauthorized access and attacks.","2026-04-01 18:27:56",3351fcb3-79f3-815a-bc6b-feac4e7c91c8,Medium
11,Metasploit,"Metasploit is an open-source penetration testing framework that allows security professionals to find and exploit vulnerabilities in systems. It provides tools for developing and executing exploit code against a remote target machine, making it a valuable resource for security researchers and ethical hackers to conduct security assessments and develop effective defenses.","2026-04-01 18:27:59",3351fcb3-79f3-81c9-8694-e4bae3393cb6,Medium
12,Exploit-DB,"Exploit-DB is a database of publicly available exploits and vulnerabilities in various software and systems. It serves as a resource for penetration testers and security researchers to find and understand vulnerabilities for better defense strategies. The database is maintained by the Offensive Security team and is widely used for security auditing and research.","2026-04-01 18:28:01",3351fcb3-79f3-8102-8950-fc5d31c60111,Medium
13,"Veil Framework","The Veil Framework is a modular web application development framework designed to provide developers with a structured environment for building scalable and maintainable applications. It emphasizes flexibility and ease of use, allowing developers to focus on business logic while managing common tasks such as routing, database access, and security features. Veil is generally suited for rapid application development with a focus on RESTful API services.","2026-04-01 18:28:03",3351fcb3-79f3-8192-842d-c705cd6dad7c,Medium
14,"Social Engineering Toolkit","The Social Engineering Toolkit (SET) is an open-source penetration testing framework designed for testing and demonstrating the efficacy of social engineering attacks. It provides a series of automated attacks like phishing, credential harvesting, and more to simulate various social engineering techniques. SET is primarily used by security professionals to assess the vulnerability of individuals and organizations to social engineering threats.","2026-04-01 18:28:05",3351fcb3-79f3-8140-8300-caf8f2b23d4f,Medium
15,"Cain and Abel","Cain and Abel is a software tool used for network security analysis, primarily for the recovery of lost passwords. It supports a wide range of protocols and file types, allowing users to conduct offline attacks on hashed password data. The tool is particularly known for its graphical user interface and extensibility through plugins.","2026-04-01 18:28:07",3351fcb3-79f3-81bc-bf68-fe1dd3053ba6,Medium
16,SQLMap,"SQLMap is an open-source penetration testing tool that automates the process of detecting and exploiting SQL injection vulnerabilities in web applications. It supports a wide range of databases and can perform various tasks such as database fingerprinting, data retrieval, and accessing the underlying file system. SQLMap is widely used by security professionals to assess the security posture of applications and identify potential attack vectors.","2026-04-01 18:28:10",3351fcb3-79f3-81b3-b519-eb9d484e80be,Medium
17,Aircrack,"Aircrack is a suite of tools for assessing the security of Wi-Fi networks, primarily used for cracking WEP and WPA/WPA2 encryption keys. It captures and analyzes packets transmitted over the air, allowing users to recover encryption keys once sufficient data is collected. Aircrack is commonly employed in penetration testing and security audits of wireless networks.","2026-04-01 18:28:12",3351fcb3-79f3-812e-bf88-d6bcf409537a,Medium
18,"Maltego Web App","The Maltego Web App is a cloud-based tool designed for open-source intelligence (OSINT) and graphical link analysis. It allows users to gather and visualize data from various sources to understand relationships between entities such as people, organizations, and online services. The app is widely used for cybersecurity investigations, threat analysis, and data mining.","2026-04-01 18:28:14",3351fcb3-79f3-81d9-af34-ea5548db2dd4,Medium
19,Wapiti,"Wapiti is a web application vulnerability scanner that can analyze the security of web applications by checking for known vulnerabilities such as SQL Injection, Cross-Site Scripting (XSS), and more. It operates by crawling the web application, identifying potential weaknesses, and generating detailed reports for remediation. Wapiti is open-source and widely used by security professionals to enhance web application security.","2026-04-01 18:28:16",3351fcb3-79f3-8105-b2d6-c8f639a39548,Medium
20,"Burp Suite","Burp Suite is a popular integrated platform used for web application security testing. It provides various tools for activities such as crawling, scanning, and assessing web application vulnerabilities. Burp Suite is widely used by security professionals and penetration testers to identify and resolve security issues in web applications.","2026-04-01 18:28:18",3351fcb3-79f3-8170-b649-d835124254ad,Medium
21,Fratrat,"Fratrat is a tool that helps in managing and orchestrating tasks across a range of managed environments. It typically allows for the automation of deployments and configuration management, ensuring that services are consistently deployed across different platforms. The tool is designed to improve operational efficiency in software development and infrastructure management.","2026-04-01 18:28:19",3351fcb3-79f3-818c-a66b-e8ca3fbe2d3e,Medium
22,"DNS Filtering","DNS filtering is a security measure that uses Domain Name System (DNS) protocols to restrict user access to certain websites or online content. By blocking requests to known harmful domains or categories of sites, organizations can protect their networks from malware, phishing attacks, and other internet-based threats. This can be implemented at various levels, including local network settings or through cloud-based security services.","2026-04-01 18:28:21",3351fcb3-79f3-8138-97ae-e52fdf575315,Medium
23,"Buffer Overflow","A buffer overflow is a situation in which a program writes more data to a buffer than it can hold, resulting in the overflow of data into adjacent memory space. This can corrupt data, crash the program, or create security vulnerabilities that attackers exploit to execute arbitrary code. Preventative measures include bounds checking and safe coding practices.","2026-04-01 18:28:23",3351fcb3-79f3-818a-98ca-e4c2bd742507,Medium
24,"JavaScript Hijack","JavaScript hijacking is a type of attack where an attacker manipulates JavaScript code to gain unauthorized access to data or perform malicious actions on a user's web browser. This typically involves intercepting or altering the code or requests sent between the client and server, often to extract sensitive information such as tokens or personal data. Preventive measures include using Content Security Policy (CSP) and avoiding inline JavaScript.","2026-04-01 18:28:31",3351fcb3-79f3-819b-8107-f8d238b0d29a,Medium
25,"Data Execution Prevention (DEP)","Data Execution Prevention (DEP) is a security feature that helps prevent malicious code from executing in certain areas of memory that are not supposed to execute code, such as the stack or heap. By marking specific memory regions as non-executable, DEP helps protect against buffer overflow attacks and other exploits that try to run unauthorized code. It can be implemented in both hardware and software, providing an additional layer of defense for computer systems.","2026-04-01 18:28:34",3351fcb3-79f3-8164-9b4f-cdad8b414c85,Medium
26,Anti-Exploit,"Anti-exploit refers to security mechanisms designed to prevent exploitation of vulnerabilities in software applications or systems. These measures aim to detect and block attempts to use software flaws for malicious purposes, such as executing arbitrary code or gaining unauthorized access. Employing anti-exploit technologies enhances the security posture of systems by adding layers of protection against various types of attacks.","2026-04-01 18:28:36",3351fcb3-79f3-817d-a440-c6bbb644c840,Medium
28,"DLL Hijacking","DLL Hijacking is a security vulnerability that occurs when an application loads a Dynamic Link Library (DLL) from an unexpected location, allowing an attacker to place a malicious DLL with the same name in that location. This can lead to the execution of unauthorized code and potential compromise of the system. It is important for developers to ensure that their applications load DLLs from trusted sources to mitigate this risk.","2026-04-01 18:28:41",3351fcb3-79f3-813f-ac6b-c7af8538c3af,Medium
29,Meterpreter,"Meterpreter is an advanced, dynamically configurable payload that is part of the Metasploit Framework. It operates in-memory and provides a powerful environment for post-exploitation, allowing attackers to control a compromised system and perform various tasks such as file manipulation, network sniffing, and privilege escalation. Its flexible architecture makes it easier to extend functionality through scripts and plugins.","2026-04-01 18:28:44",3351fcb3-79f3-814e-84be-ce9354d149e1,Medium
30,"Remote Access Tool (RAT)","A Remote Access Tool (RAT) is software that allows unauthorized access and control of a computer or network from a remote location. While RATs can be used for legitimate purposes such as remote tech support and system administration, they are often associated with malware that enables cybercriminals to exploit systems for data theft and other malicious activities.","2026-04-01 18:28:46",3351fcb3-79f3-8158-9a09-d76d9ce678a2,Medium
31,Chroot,"Chroot is a Unix system operation that changes the root directory of the current running process and its children to a specified path, isolating them from the rest of the filesystem. This boundary helps enhance security by creating a controlled space where only certain files and directories are accessible, effectively limiting the potential impact of a security breach or malware. It is commonly used for testing and development environments, and for running applications in a confined space.","2026-04-01 18:28:48",3351fcb3-79f3-8167-8537-dc7783dee119,Medium
32,"User Behaviour Analysis (UBA)","User Behaviour Analysis (UBA) refers to the process of collecting and analyzing data regarding user interactions with systems and applications. By understanding user behavior patterns, organizations can enhance security measures, optimize user experience, and inform marketing strategies. UBA typically employs machine learning techniques to identify anomalies and predict future user actions.","2026-04-01 18:28:50",3351fcb3-79f3-8184-95c7-c06db9b1a96f,Medium
33,"Incident Response SOPs","Incident Response SOPs (Standard Operating Procedures) are documented processes that outline the steps to be taken when an incident is detected within an organization. These SOPs ensure a coordinated and efficient response to incidents, helping to minimize damage, recover quickly, and prevent future occurrences. They typically cover identification, containment, eradication, recovery, and lessons learned.","2026-04-01 18:28:52",3351fcb3-79f3-817d-b544-cae9ebd47c51,Medium
